"Date","Samsung","Nokia","Unknown","Xiaomi","Micromax","Oppo","Lenovo","Mobicel","Motorola","Apple","Sony","BBK","HTC","Huawei","Realme","Vivo","Asus","Gionee","OnePlus","LG","Lava","Lyf","Spice","Google","Coolpad","Panasonic","LeEco","Reliance Digital","Tecno","Itel","RIM","Intex","Alcatel","Infinix","InFocus","Karbonn","Yu","Xolo","ZTE","Comio","Mobiistar","HP","Opp","Infinex","QMobile","Meizu","Other"
2016-02,24.54,16.37,27.17,1.44,12.7,0.15,3.62,0,2.58,2.01,2.72,0.19,2.27,0.47,0,0,0.58,0.21,0.15,0.61,0.25,0,0.69,0.66,0.09,0,0,0,0,0,0.22,0,0.12,0,0.02,0,0,0,0.08,0,0,0.05,0,0,0,0.02,0.04
2016-03,27.52,15.46,23.84,2.22,12.34,0.19,3.81,0,2.66,2.12,2.9,0.19,2.25,0.48,0,0,0.82,0.23,0.25,0.58,0.23,0,0.65,0.65,0.09,0,0,0,0,0,0.19,0,0.11,0,0.01,0,0,0,0.08,0,0,0.05,0,0,0,0.02,0.04
2016-04,27.31,15.21,24.25,2.26,12,0.19,4.13,0,2.77,2.21,2.78,0.17,2.24,0.49,0,0,0.85,0.26,0.28,0.58,0.22,0,0.61,0.63,0.09,0,0,0,0,0,0.2,0,0.1,0,0.01,0,0,0,0.07,0,0,0.05,0,0,0,0.02,0.04
2016-05,27.57,14.19,24.87,2.25,11.83,0.18,4.26,0,2.73,2.26,2.73,0.17,2.25,0.48,0,0,0.84,0.29,0.28,0.57,0.2,0,0.59,0.92,0.09,0,0,0,0,0,0.2,0,0.09,0,0.01,0,0,0,0.07,0,0,0.04,0,0,0,0.02,0.04
2016-06,27.19,13.96,24.69,2.23,11.34,0.16,4.31,0,3,2.81,2.61,0.15,2.22,0.49,0,0,0.9,0.26,0.34,0.59,0.17,0,0.57,1.39,0.08,0,0,0,0,0,0.24,0,0.09,0,0.01,0,0,0,0.06,0,0,0.05,0,0,0,0.02,0.04
2016-07,27.05,13.7,26.16,2.25,10.8,0.15,4.51,0,3.13,3,2.46,0.14,2.27,0.49,0,0,0.91,0.27,0.37,0.58,0.15,0,0.5,0.57,0.08,0,0,0,0,0,0.22,0,0.08,0,0.01,0,0,0,0.05,0,0,0.04,0,0,0,0.02,0.04
2016-08,26.21,13.54,28.13,2.06,10.45,0.14,4.46,0,3.04,2.9,2.24,0.13,2.19,0.45,0,0,0.84,0.29,0.34,0.55,0.13,0,0.48,0.93,0.07,0,0,0,0,0,0.21,0,0.08,0,0.01,0,0,0,0.05,0,0,0.04,0,0,0,0.01,0.05
2016-09,26.85,11.62,30.13,2.13,10.27,0.14,4.95,0,3.05,2.63,2.17,0.13,2.16,0.45,0,0,0.86,0.39,0.31,0.54,0.13,0,0.44,0.21,0.08,0,0,0,0,0,0.16,0,0.07,0,0.01,0,0,0,0.03,0,0,0.03,0,0,0,0.02,0.03
2016-10,26.79,9.26,28.33,3.6,9.09,1.07,6.31,0,3.3,2.4,1.88,0.59,2.06,0.44,0,0,1.12,0.58,0.34,0.53,0.1,0.2,0.36,0.2,0.29,0,0.32,0.47,0,0,0.12,0,0.06,0,0.01,0,0,0,0.04,0,0,0.03,0,0,0,0.02,0.08
2016-11,27.41,8.25,19.91,5.43,8.79,2.81,6.62,0,3.01,2.16,1.8,2.48,1.85,0.54,0,0,1.28,1.26,0.36,0.48,0.12,1.36,0.33,0.25,0.75,0.3,0.74,1.06,0,0,0.12,0,0.05,0,0.05,0,0.24,0,0.03,0,0,0.02,0,0,0,0.02,0.07
2016-12,27.48,7.66,17.25,5.82,8.64,3.12,6.67,0,2.96,2.33,1.81,2.89,1.84,0.66,0,0,1.23,1.63,0.37,0.48,0.39,1.89,0.3,0.25,0.77,0.73,0.72,1.03,0,0.01,0.12,0.05,0.05,0,0.2,0.02,0.32,0.14,0.02,0,0,0.02,0,0,0,0.02,0.1
2017-01,27.18,7.74,15.68,5.9,8.21,3.56,6.76,0,2.91,2.31,1.7,3.48,1.75,0.69,0,0,1.21,1.73,0.38,0.47,0.77,2.2,0.27,0.24,0.83,0.91,0.7,0.99,0,0.07,0.11,0.11,0.05,0,0.26,0.04,0.33,0.27,0.02,0,0,0.02,0,0,0,0.02,0.12
2017-02,26.46,7.11,14.68,6.28,7.72,3.97,7.18,0.02,3.07,2.39,1.59,3.96,1.71,0.76,0,0,1.3,1.77,0.43,0.47,0.93,2.32,0.21,0.24,0.93,0.94,0.72,1,0,0.1,0.1,0.36,0.05,0,0.31,0.07,0.32,0.3,0.02,0,0,0.02,0,0,0,0.02,0.16
2017-03,25.88,6.41,15.18,6.76,7.43,4.27,7.07,0.14,3.08,2.56,1.52,4.21,1.7,0.78,0,0,1.28,1.77,0.47,0.47,0.94,2.2,0.2,0.24,0.91,0.92,0.71,0.92,0,0.11,0.1,0.42,0.06,0,0.29,0.12,0.29,0.31,0.03,0,0,0.02,0,0,0,0.02,0.21
2017-04,25.44,5.9,14.68,7.53,7.14,4.5,7.12,0.53,3.4,2.72,1.47,4.26,1.71,0.83,0,0,1.31,1.76,0.57,0.48,0.93,2.06,0.18,0.25,0.9,0.85,0.71,0.79,0,0.13,0.09,0.41,0.06,0,0.28,0.15,0.27,0.28,0.04,0,0,0.02,0,0,0,0.02,0.22
2017-05,25.53,5.88,14.05,8.07,6.79,4.93,6.92,1.08,3.31,2.63,1.37,4.39,1.63,0.84,0,0,1.27,1.83,0.55,0.47,0.93,2.09,0.16,0.23,0.88,0.82,0.69,0.74,0,0.14,0.09,0.4,0.06,0,0.25,0.16,0.26,0.27,0.04,0,0,0.02,0,0,0,0.02,0.2
2017-06,25.15,5.66,13.98,8.64,6.49,5.36,6.81,1.62,3.16,2.64,1.27,4.39,1.52,0.85,0,0,1.23,1.86,0.49,0.45,0.97,2.04,0.14,0.21,0.88,0.82,0.66,0.71,0,0.22,0.08,0.43,0.06,0,0.24,0.18,0.24,0.28,0.04,0,0,0.02,0,0,0,0.02,0.2
2017-07,24.88,5.4,13.77,9.4,6.07,5.64,6.85,2.11,3.28,2.61,1.2,4.29,1.46,0.93,0,0,1.23,1.84,0.47,0.44,0.95,1.88,0.13,0.2,0.9,0.77,0.65,0.63,0,0.26,0.07,0.42,0.06,0,0.24,0.19,0.22,0.28,0.04,0,0,0.01,0,0,0,0.02,0.2
2017-08,24.59,5.14,12.87,10.19,5.76,5.87,6.84,2.55,3.69,2.88,1.16,4.2,1.39,0.99,0,0,1.25,1.83,0.52,0.44,0.94,1.74,0.11,0.19,0.9,0.74,0.64,0.56,0,0.3,0.07,0.41,0.06,0.01,0.23,0.19,0.21,0.27,0.04,0,0,0.01,0,0,0,0.02,0.19
2017-09,24.83,5.02,13.73,9.96,5.72,5.94,6.46,2.68,3.74,3.12,1.12,3.92,1.36,0.99,0,0,1.17,1.71,0.55,0.43,0.92,1.61,0.13,0.18,0.84,0.71,0.58,0.53,0.02,0.32,0.07,0.4,0.06,0.02,0.22,0.21,0.21,0.26,0.04,0,0,0.01,0,0,0,0.02,0.18
2017-10,25.09,4.84,13.32,10.75,5.31,5.97,6.26,3.03,3.87,3.49,1.06,3.64,1.27,1,0,0,1.12,1.62,0.71,0.43,0.87,1.43,0.14,0.17,0.8,0.66,0.55,0.48,0.06,0.33,0.06,0.4,0.05,0.07,0.23,0.24,0.21,0.23,0.04,0,0,0.01,0,0,0,0.02,0.17
2017-11,24.77,4.3,13.52,11.34,5.09,5.95,6.37,3.33,4.14,3.32,1.05,3.44,1.23,1.07,0,0,1.17,1.56,0.69,0.45,0.87,1.33,0.13,0.16,0.82,0.67,0.54,0.46,0.08,0.33,0.06,0.42,0.05,0.1,0.24,0.27,0.19,0.23,0.05,0,0,0.01,0,0,0,0.02,0.18
2017-12,24.71,4.49,13.9,11.33,5.09,5.67,6.37,3.47,4.21,3.17,1.06,3.31,1.23,1.09,0,0,1.18,1.5,0.54,0.46,0.9,1.24,0.13,0.16,0.83,0.67,0.53,0.43,0.12,0.35,0.06,0.43,0.05,0.12,0.25,0.29,0.18,0.22,0.05,0,0,0.01,0,0,0,0.02,0.19
2018-01,24.54,4.68,14.06,11.46,5.1,5.76,6.08,3.76,4.16,3.07,1.04,3.24,1.19,1.1,0,0,1.14,1.55,0.42,0.46,0.91,1.19,0.13,0.16,0.78,0.67,0.51,0.42,0.14,0.38,0.06,0.43,0.05,0.13,0.24,0.31,0.18,0.22,0.05,0,0,0.01,0,0,0,0.02,0.2
2018-02,24.67,3.78,13.54,12.58,4.73,5.79,6.19,4.11,4.33,3.14,0.96,3.22,1.16,1.16,0,0,1.15,1.58,0.36,0.47,0.88,1.16,0.12,0.17,0.8,0.66,0.55,0.38,0.14,0.37,0.05,0.42,0.04,0.14,0.23,0.28,0.18,0.22,0.05,0,0,0.01,0,0,0,0.02,0.18
2018-03,24.85,3.43,15.07,12.3,4.62,5.62,5.89,4.16,4.15,3.34,0.89,3.09,1.13,1.1,0,0,1.04,1.57,0.36,0.47,0.84,1.14,0.12,0.17,0.81,0.64,0.52,0.36,0.15,0.39,0.05,0.43,0.05,0.13,0.2,0.29,0.18,0.22,0.05,0,0,0.01,0,0,0,0.02,0.18
2018-04,24.64,3.53,13.75,14.47,4.47,6.24,5.34,4.42,3.79,2.81,0.8,3.03,1.03,1.39,0,0,0.93,1.55,0.33,0.45,0.85,1.06,0.13,0.15,0.65,0.65,0.47,0.33,0.29,0.48,0.04,0.45,0.04,0.15,0.22,0.3,0.17,0.21,0.04,0.09,0,0.01,0,0,0.04,0.02,0.16
2018-05,24.1,2.73,11.65,16.55,4.16,6.62,5.37,4.91,3.87,2.65,0.76,3.04,0.96,1.74,0,0,0.96,1.59,0.33,0.43,1.1,1.01,0.12,0.14,0.67,0.66,0.47,0.31,0.38,0.6,0.03,0.46,0.04,0.19,0.27,0.31,0.16,0.21,0.05,0.15,0,0.01,0,0,0.06,0.02,0.17
2018-06,23.84,2.54,10.58,17.9,3.69,6.78,5.25,5.3,3.92,2.9,0.73,2.88,0.93,1.97,0,0,1,1.5,0.31,0.43,1.28,0.91,0.11,0.14,0.64,0.62,0.46,0.27,0.4,0.67,0.04,0.4,0.04,0.21,0.28,0.3,0.15,0.19,0.05,0.15,0,0.01,0,0,0.06,0.02,0.18
